question,answer,llm_answer,is_correct
"Yvonne brings a box of chocolates to school. Half have nuts and half do not. The students eat 80% of the ones with nuts and eat half of the ones without nuts. If there are 28 chocolates left, how many chocolates were in the box?","The ones with nuts that they ate was 40% of the box because 80% x .5 = 40%
The ones without nuts that they ate equaled 25% of the box because 50% x .5 = 25%
They ate 65% of the box because 40 + 25 = <<40+25=65>>65
They left 35% of the box because 100 - 65 = <<100-65=35>>35
The box had 80 chocolates because 28 / .35 = <<28/.35=80>>80
#### 80",100,False
"Scott has 7 pairs of shoes.  Anthony has 3 times as many pairs of shoes as Scott, and Jim has 2 less pairs than Anthony.  How many more pairs of shoes does Anthony have compared to Jim?","Anthony:7(3)=21
Jim:21-2=<<21-2=19>>19
Anthony has 21-19=<<21-19=2>>2 more pairs of shoes.
#### 2",6,False
"Ian spent half the money he made on doing online surveys. If he worked 8 hours doing surveys and on average he's able to earn $18 per hour doing surveys, how much money does he have left?","Ian is able to earn $18 per hour doing surveys. If he worked 8 hours doing surveys, then he earned $18*8 = $<<18*8=144>>144
If he spent half of what he earned, then he spent $144 * 50% = $<<144*50*.01=72>>72
If Ian spent $72 of his earnings, then he has $144 - $72 = $<<72=72>>72 left
#### 72",72,True
John went on a mission that was supposed to take 5 days.  Instead it took 60% longer.  He then had to go on a second mission which took 3 days.  How long was he on missions?,"The first mission took 5*.6=<<5*.6=3>>3 days longer than anticipated
So it took 5+3=<<5+3=8>>8 days
That means the two missions took 8+3=<<8+3=11>>11 days
#### 11",8,False
"A movie ticket for an adult costs $8, and a child's ticket costs $3. One adult is taking a group of children to the movies. She has $35. How many children can she take with her to the movies?","Let X be the number of children the adult can take with her. She has $35, so she could buy one ticket for her and the rest for the children.
So she has $35 - $8 = $<<35-8=27>>27 left for children.
She could take $27 / $3/child = <<27/3=9>>9 children with her.
#### 9",9,True
"Mary has 5 green crayons and 8 blue crayons of different shades. If she gives out 3 green crayons and 1 blue crayon to Becky, how many crayons does she have left?","She had 5+8 = <<5+8=13>>13 crayons to start with
She gave out 3+1 = <<3+1=4>>4 crayons to Becky
She will have 13-4 = <<13-4=9>>9 crayons left
#### 9",10,False
"Aaron has four times as many cows as does Matthews. Together, they have 30 more cows than Marovich. If Matthews has 60 cows, how many cows do the three have altogether?","If Matthews has 60 cows, Aaron has 4*60 = 240 cows.
Together, Aaron and Matthews have 240+60 = <<240+60=300>>300 cows.
Since Marovich has 30 fewer cows than the combined number of cows that Aaron and Matthews have, Marovich has 300-30 = <<300-30=270>>270 cows.
Altogether, the three have 270+300 = <<270+300=570>>570 cows
#### 570",150,False
"Owen bred 21 turtles, and Johanna has 5 fewer turtles than Owen. After 1 month, Owen has twice as many turtles as before and Johanna loses half of her turtles and donates the rest to Owen. How many turtles did Owen have?","Johanna had 21 turtles - 5 turtles = <<21-5=16>>16 turtles.
After 1 month, Owen was left with 21 turtles * 2 = <<21*2=42>>42 turtles.
After 1 month, Johanna was left with 16 turtles / 2 = <<16/2=8>>8 turtles.
After Johanna's donation, Owen was left with 42 turtles + 8 turtles = <<42+8=50>>50 turtles.
#### 50",63,False
"To try to get the class to eat more vegetables, the teacher says that she will start giving them good character points that the class can redeem for a movie day if they earn enough. The students need to earn 200 points to win the movie day. Each time a student eats their vegetables at lunch she gives the student 2 points. There are 25 students in the class. If they have two school weeks, otherwise known as 10 days to win the movie, what is the average number of vegetables each student must eat per school week to get a movie day?","The students need eat 100 vegetables in total because 200 / 2 = <<200/2=100>>100
Each student needs to eat on average 4 vegetables because 100 / 25 = <<100/25=4>>4
Each student needs to eat 2 vegetables per school week because 4 / 2 = <<4/2=2>>2
#### 2",4,False
"After uploading her video to Youtube, Kallie received 4000 views on the first day. When she checked her channel 4 days later, she realized that the number of views had increased by a number ten times more than the views on the first day. If 50000 more people viewed the video after another two days, determine the number of views the video had gained on Youtube?","If the number of views on the first day was 4000, the video's views on Youtube increased by 10*4000= 40000 after four days.
The total number of views of the video on Youtube after four days was 40000+4000 = <<40000+4000=44000>>44000
If 50000 more people viewed the video, the total number of views that the Youtube video had is 44000+50000 = 94000
#### 94000",54000,False
John and Sam were hungry so they ordered an extra-large pizza that was pre-sliced into 12 pieces.  John ate 3 slices while Sam ate twice the amount that John ate.  How many slices of pizza were left?,"Sam had twice the amount of John so Sam ate 3*2 = <<3*2=6>>6 slices
Together, they ate 3+6 = <<3+6=9>>9 slices
1 pizza has 12 slices. 9 slices were eaten so 12-9= <<12-9=3>>3 slices left.
#### 3",#### 3,True
"A hot dog stand sells 10 hot dogs every hour, each one selling for $2.  How many hours does the stand need to run to make $200 in sales?","First, we find out how much in sales the stand makes each hour by multiplying the number of hot dogs sold by the sales price, finding that 2*10=<<2*10=20>>20 dollars in sales each hour.
Then we divide the sales goal for the day by the sales per hour, finding that the stand needs to be open for 200/20= <<200/20=10>>10 hours to hit its sales goal.
#### 10",#### 10,True
"Reggie and his brother are having a basketball shooting contest. They each get to take 10 shots. Layups are worth 1 point, free throws are worth 2 points, and anything further away is worth 3 points. Reggie makes 3 layups, two free throws, and one long shot. His brother only shoots long shots and makes 4 of them. How many points does Reggie lose by?","Reggie makes 3 points off layups because 3 x 1 = <<3*1=3>>3
Reggie makes 4 points off free-throws because 2 x 2 = <<2*2=4>>4
Reggie makes 3 points off long shots because 1 x 3 = <<1*3=3>>3
Reggie scores 10 points because 3 + 4 + 3 =<<3+4+3=10>>10
His brother scores 12 points because 4 x 3 = <<4*3=12>>12
Reggie loses by 2 because 12 - 10 = <<12-10=2>>2
#### 2",1,False
"Ms. Jones got thank you cards from 30% of her class. 1/3 of these contained a gift card for $10. If she got $50 in gift cards, how many students were in her class?","She got 5 gift cards because 50 / 10 = <<50/10=5>>5
She got 15 thank you cards because 5 / (1/3) = <<5/(1/3)=15>>15
She has 50 students because 15 / .3 = <<15/.3=50>>50
#### 50",25,False
"Martin went on an eight-hour business trip. During the first half of the trip, he traveled at a speed of 70 kilometers per hour and during the second half at a speed of 85 kilometers per hour. How many kilometers did he travel during the journey?","Half of the trip lasts for 8 * 0.5 = <<8*0.5=4>>4 hours.
During the first half, Martin did 4 * 70 = <<4*70=280>>280 kilometers.
And during the second half 4 * 85 = <<4*85=340>>340 kilometers.
In total Martin traveled 280 + 340 = <<280+340=620>>620 kilometers during his business trip.
#### 620",620,True
"The Jacksonville Walmart normally gets 120 customer complaints per day. That number increases by 1/3rd when they're short-staffed and this increases by another 20% when the self-checkout is broken. If the store was short-staffed and the self-checkout was broken for 3 days, how many complaints does the store get?","First find the number of complaints per day when the store is short-staffed: 120 complaints/day * 4/3 = <<120*4/3=160>>160 complaints/day
Then find the number of complaints per day when the self-checkout is broken and they're short-staffed: 160 complaints/day * 1.2 = <<160*1.2=192>>192 complaints/day
Then multiply the number of complaints per day by the number of days to find the total number of complaints: 192 complaints/day * 3 days = <<192*3=576>>576 complaints
#### 576",224,False
You draw a rectangle that is 7 inches wide. It is 4 times as long as it is wide. What is the area of the rectangle?,"The length of the rectangle is 4 * 7 inches = <<4*7=28>>28 inches.
The area of the rectangle is 7 inches * 28 inches = <<7*28=196>>196 square inches.
#### 196",196,True
A bathroom has 10 6 inch tiles along its width and 20 6 inch tiles along its length.  What is the square footage of the bathroom?,"There are 10 tiles that are 6 inches long running the width of the bathroom so it is 10*6 = <<10*6=60>>60 inches long
There are 12 inches in a foot and it’s 60 inches wide so it is 60/12 = 5 feet wide
There are 20 tiles that are 6 inches long running the length of the bathroom so it’s 20*6 = <<20*6=120>>120 inches long
There are 12 inches in a foot and it’s 120 inches long so it is 120/12 = <<120/12=10>>10 feet wide
The square footage is l x w so the bathroom has 10*5 = <<10*5=50>>50 sq feet
#### 50",####200,False
"Ral is twice as old as Suri. In 3 years, Suri's current age will be 16. What is Ral's current age?","If Suri will be 16 in 3 years, that means she is 16 - 3 = <<16-3=13>>13 years old now.
Rai is twice as old as Suri, so she is 2 * 13 = <<2*13=26>>26 years old now.
#### 26",30,False
"The central Texas countryside contains many toads that come out at night.  For every green toad, there are 25 brown toads, and one-quarter of the brown toads are spotted.  If there are 50 spotted brown toads per acre, how many green toads are there per acre?","If there are 50 spotted brown toads per acre, and this represents one-quarter of the brown toads, then there are 50*4=<<50*4=200>>200 brown toads per acre.
If for every 25 brown toads there is one green toad, then there are 200/25=<<200/25=8>>8 green toads per acre.
#### 8",2,False
"Five shirts together cost $85. Of the 5 shirts, there are 3 shirts that cost $15 each. If the remaining shirts are each equal in value, what is the cost, in dollars, of one of the remaining shirts?","The first 3 shirts cost 15*3=<<15*3=45>>45 dollars in total.
There are 5-3=<<5-3=2>>2 shirts remaining.
The remaining 2 shirts cost 85-45=<<85-45=40>>40 dollars in total.
One of the remaining shirts costs 40/2=<<40/2=20>>20 dollars.
#### 20",20,True
"Toby has 63 photos on his camera roll. He deletes seven bad shots, takes fifteen pictures of his cat, and then does a photo shoot with his friends. After editing the photos with his friends, he decides to delete three of them. His camera roll has 84 photos in the end. How many photos did Toby take in the photo shoot?","Let P be the number of photos in the photo shoot.
After Toby deleted 7 shots, he had 63 - 7 = <<63-7=56>>56 photos.
After taking 15 cat pictures, he had 56 + 15 = <<56+15=71>>71 photos.
After the photo shoot, he had 71 + P photos.
After deleting 3 photos, he had 71 + P - 3 = <<71+-3=68>>68 + P photos.
He had 68 + P = 84 photos in the end.
Thus, Toby took P = 84 - 68 = <<84-68=16>>16 photos in the photo shoot.
#### 16",36,False
Happy Island has 60 turtles. This means there are 10 more than 2 times as many turtles on Happy Island as on Lonely Island. How many turtles are there on Lonely Island?,"After subtracting 10 from the number of turtles on Happy Island, we get 60 - 10 = <<60-10=50>>50 turtles
Dividing this number by two, we find that the number of turtles on Lonely Island is 50/2=<<50/2=25>>25 turtles.
#### 25",25,True
Jason has six fish in his aquarium. He realizes that every day the number of fish doubles. On the third day he takes out one-third of the fish. On the fifth day he takes out one-fourth of the fish. On the seventh day he adds 15 more fish. How many fish in total does he have?,"Start by finding how many fish were in the aquarium on the third day 6 * 2 * 2 = <<6*2*2=24>>24.
On day three, Jason took out one-third of the fish 24 / 3 = <<24/3=8>>8.
So at the end of day three, he has 24 - 8 = <<24-8=16>>16 fish.
On day five he has 16 * 2 * 2 = 64 fish, but he takes out one-fourth.
So he took out 64 / 4 = <<64/4=16>>16 fishes.
So at the end of day five, he has 64 - 16 = <<64-16=48>>48 fish.
On day seven he has 48 * 2 * 2 = <<48*2*2=192>>192 fish.
He adds in 15 more, so he has 192 + 15 = <<192+15=207>>207 fish in total.
#### 207",105,False
"There were 8000 jelly beans in a certain barrel, and 10 people lined up to take some. The first six people each took twice as many jelly beans as each of the last four people took. If the last four people each took 400 jelly beans, how many jelly beans remained in the container?","If the last four people each took 400 jelly beans, they took a total of 4*400 = <<4*400=1600>>1600 jelly beans.
The first six people each took twice as many jelly beans as each of the last four people took, meaning each of them took 2*400 = <<2*400=800>>800 jelly beans.
The total number of jelly beans the first six people took is 800*6 = <<800*6=4800>>4800 jelly beans.
Together, all 10 people took together 4800+1600 = <<4800+1600=6400>>6400 jelly beans.
If there were 8000 jelly beans in a certain barrel, the number of jelly beans that remained is 8000-6400= <<8000-6400=1600>>1600
#### 1600",4000,False
"Mr. Smith has incurred a 2% finance charge because he was not able to pay on time for his balance worth $150. If he plans to settle his balance today, how much will Mr. Smith pay?","The finance charge amounts to $150 x 2/100 = $<<150*2/100=3>>3.
Thus, Mr. Smith will pay a total of $150 + $3 = $<<150+3=153>>153.
#### 153",153,True
Jackson’s mom packs him a peanut butter and jelly sandwich for his school lunch on Wednesdays and Fridays. There are 36 weeks of school and Jackson has only missed 1 Wednesday and 2 Fridays. How many peanut butter and jelly sandwiches did he eat for lunch this school year?,"36 weeks of school x 2 days of the week = <<36*2=72>>72 days of school
1 Wednesday + 2 Fridays = <<1+2=3>>3 days of school missed
72 days of school – 3 days of school missed = <<72-3=69>>69 peanut butter and jelly sandwiches eaten
#### 69",68,False
"Twice Betty's age is the cost of a pack of nuts. Doug, Betty's friend, is 40 years old. If the sum of their ages is 90, and Betty wants to buy 20 packs of the nuts, calculate the amount of money she'll pay for the packs of nuts.","If Doug, Betty's friend, is 40 years old, and the sum of their ages is 90, Betty is 90-40 = <<90-40=50>>50 years old.
Since twice Betty's age is the cost of a pack of nuts, a pack of nuts is sold at 2*$50 = $<<2*50=100>>100
If Betty wants to buy 20 packs of the nuts, she'll have to pay 20*$100 = $<<20*100=2000>>2000
#### 2000",1800,False
5 geckos on the kitchen window eat 6 insects each. 3 lizards eat twice as much as the geckos.  How many total insects were eaten?,"The number of insects the geckos eat is 5 x 6 = <<5*6=30>>30.
The number of insects the lizards eat is 3 x 12 = <<3*12=36>>36.
The total number of insects eaten is 30 + 36 = <<30+36=66>>66 insects.
#### 66",42,False
"Mrs. Oaklyn buys handmade rugs at $40 each and sells them at $60 each. If she bought 20 rugs, calculate the profit she will make from selling the rugs.","Since she buys one rug at $40 and sells it at $60, she makes a profit of $60-$40 = $<<60-40=20>>20
If she bought 20 rugs at $40 and sold them at $60 each, she made a profit of 20*$20 = $400
#### 400",400,True
"In a 50-question test with two marks for each question, Meghan learned that she scored 20 marks less than her friend Jose, who scored 40 more marks than their friend Alisson. Calculate the total score for the three in the test combined if Jose got 5 questions wrong?","If you answer every question correctly in the test, the total possible marks are 50*2= <<50*2=100>>100 marks.
If Jose got five questions wrong, he lost 5*2 = <<5*2=10>>10 marks because each question has two marks.
Therefore, Jose scored 100-10 = <<100-10=90>>90 marks on the test.
Meghan scored 20 marks less than that which Jose got, a total of 90-20 = <<90-20=70>>70 marks.
The total marks that Jose and Meghan scored in the test are 70+90 = <<70+90=160>>160
Alisson scored 90-40 = <<90-40=50>>50 marks in the examination, 40 marks less than that which Jose scored on the test.
The total number of marks that the three scored in the test is 160+50 = <<160+50=210>>210
#### 210",234,False
